289,Agony,2017,0,0,0,0,0,0,0,0,0,0
290,"Tower Island: Explore Discover and Disassemble",2016,0,0,1,0,0,0,0,9.99,9.99,0
291,"Hoops VR",2016,0,0,0,0,0,0,7,9.99,9.99,2152
292,"Light VR",2016,0,0,0,0,0,0,0,13.99,9.93,2332
293,"Escargot Kart",2016,0,0,0,0,1,0,20,4.99,4.99,535
294,"Octoshield VR",2016,0,1,0,0,0,0,0,4.99,4.99,1793
295,"Galaxy Combat Wargames",2016,0,0,0,0,0,0,0,0,0,14707
296,"The First Spark",2016,0,0,0,0,0,0,0,3.99,3.99,29951
297,"JDM Tuner Racing",2016,0,0,0,0,0,147,0,0.99,0.99,99360
298,"Rush for Berlin: Gold Edition",2009,0,0,0,76,0,0,0,4.99,4.99,21881
299,"Valcarta: Rise of the Demon",2016,0,0,0,0,0,0,22,13.99,11.89,897
300,"Gun Done",2016,0,0,0,0,0,361,6,0.99,0.99,27979
301,"Ping Pong Waves VR",2016,0,0,0,0,0,204,0,4.99,4.99,15603
302,"Highway to the Moon",2016,0,0,0,0,1,0,62,7.99,7.99,3587
303,"The Karters",2016,0,0,0,0,1,0,0,0,0,0
304,"Vistascapes VR",2016,0,0,0,0,0,0,0,2.89,2.89,1614
305,"Zeus Quest Remastered",2016,0,0,0,0,0,0,26,6.99,6.99,4125
306,"The book of commands : Lost Symbol",2016,0,0,0,0,0,0,40,9.99,9.99,533
307,"Dumb Chicken 2: One Way Out",2016,0,0,0,0,0,0,41,2.99,2.99,539
308,"Secret Files: Tunguska",2009,0,0,0,0,0,0,0,9.99,9.99,49859
309,"Dream Car Racing 3D",2016,0,0,0,0,0,0,0,0,0,2152
310,"Hover 2030",2016,0,0,0,0,0,0,0,1.99,1.99,3766
311,"Armed Against the Undead",2016,0,0,0,0,0,0,0,19.99,19.99,717
312,"Just Deserts",2016,0,0,4,0,0,109,48,9.99,9.99,4484
313,"Tower Defense Ultimate",2016,0,0,0,0,0,0,0,5.99,5.99,0
314,"LOKA - League of keepers Allysium",2016,0,0,0,0,0,0,14,29.99,29.99,1255
315,"Left-Hand Path",2016,0,0,0,0,0,0,14,14.99,14.99,3049
316,"Rainbow Six Siege - Pro League Ash Set",2015,17,0,24,0,0,31397,0,49.99,49.99,0
317,"Rainbow Six Siege - Pro League Thermite Set",2015,17,0,24,0,0,31397,0,49.99,49.99,0
318,"Rainbow Six Siege - Pro League Bandit Set",2015,17,0,24,0,0,31397,0,49.99,49.99,0
319,"Secret Files: Puritas Cordis",2009,0,0,0,64,0,0,0,9.99,9.99,25109
320,"Rainbow Six Siege - Pro League Mute Set",2015,17,0,24,0,0,31397,0,49.99,49.99,0
321,"GentleMoon 2",2016,0,0,0,0,0,0,0,2.99,2.99,1973
322,"Star Vikings",2016,0,0,0,0,0,0,0,0,0,0
323,"The Infinite Black",2016,0,0,0,0,0,0,0,0,0,35511
324,"iGrow Game",2016,0,1,0,0,0,0,0,4.99,4.99,1255
325,"Whitetail Challenge",2016,0,0,0,0,0,0,18,9.99,9.99,0
326,"Edge of Twilight – Return To Glory",2016,0,0,0,0,1,0,0,0,0,897
327,MachRace,2016,0,0,0,0,0,0,0,2.99,2.99,0
328,"Mr Shifty",2017,0,0,0,0,1,0,0,0,0,533
329,"VR Shooter Guns",2016,0,1,0,0,1,0,0,0,0,0
